package,old_key,new_key
Core,Unlock screenshot cleanup to review and delete screenshots with the same safe confirmation flow.,core.cleanupCategory.unlockScreenshotCleanupReviewDelete
DesignSystem,%d Columns,designSystem.photoGridColumnPreference.columns
DesignSystem,Alike celebrates your completed cleanup,designSystem.alikeReaction.alikeCelebratesYourCompletedCleanup
DesignSystem,Alike found cleanup opportunities,designSystem.alikeReaction.alikeFoundCleanupOpportunities
DesignSystem,Alike has cleanup opportunities ready for review,designSystem.alikeReaction.alikeHasCleanupOpportunitiesReady
DesignSystem,Alike is ready for cleanup,designSystem.alikeReaction.alikeIsReadyForCleanup
DesignSystem,Alike is ready to help organize your photo library,designSystem.alikeReaction.alikeReadyHelpOrganizePhoto
DesignSystem,Alike needs photo library permission to continue,designSystem.alikeReaction.alikeNeedsPhotoLibraryPermission
DesignSystem,Alike noticed new photos in your library,designSystem.alikeReaction.alikeNoticedNewPhotosLibrary
DesignSystem,Alike ran into a problem with the scan,designSystem.alikeReaction.alikeRanIntoProblemWith
DesignSystem,Alike says your photo library is all caught up,designSystem.alikeReaction.alikeSaysPhotoLibraryAll
DesignSystem,Alike searching for similar photos,designSystem.alikeReaction.alikeSearchingForSimilarPhotos
DesignSystem,Choose how many columns are used to display photos,designSystem.photoGridColumnPreference.chooseHowManyColumnsUsed
DesignSystem,Columns,designSystem.photoGridColumnPreference.columns2
DesignSystem,Grid Columns,designSystem.photoGridColumnPreference.gridColumns
DesignSystem,Photo preview unavailable,designSystem.photoLoadFailure.photoPreviewUnavailable
DesignSystem,Retry,designSystem.photoLoadFailure.retry
DesignSystem,Try loading the photo again,designSystem.photoLoadFailure.tryLoadingThePhotoAgain
Details,%@ MP,details.clusterDetails.mp
Details,%d Similar Photos,details.clusterReviewSummaryCard.similarPhotos
Details,"%d selected, estimated size %@.",details.clusterReviewSummaryCard.selectedEstimatedSize
Details,1 Similar Photo,details.clusterReviewSummaryCard.n1SimilarPhoto
Details,"1 selected, estimated size %@.",details.clusterReviewSummaryCard.n1SelectedEstimatedSize
Details,Alike celebrating the Best Shot,details.alikeBestShotCelebration.alikeCelebratingTheBestShot
Details,Alike comparing similar photos,details.alikeComparisonReview.alikeComparingSimilarPhotos
Details,Alike needs photo library access before it can delete photos. Open Settings to continue.,details.common.alikeNeedsPhotoLibraryAccess
Details,Alike organizing selected photos,details.common.alikeOrganizingSelectedPhotos
Details,Best Shot,details.common.bestShot
Details,Cancel,details.common.cancel
Details,Choose which photos are selected for cleanup,details.screenshotCleanupComponents.chooseWhichPhotosSelectedCleanup
Details,Cleanup Unavailable,details.common.cleanupUnavailable
Details,Clear Selection,details.common.clearSelection
Details,Close,details.common.close
Details,Cluster details are available on iOS.,details.clusterDetails.clusterDetailsAvailableIOS
Details,Couldn't delete the selected photos. Please try again.,details.common.couldntDeleteSelectedPhotosPlease
Details,Created,details.clusterDetails.created
Details,Current cleanup review status,details.clusterReviewSummaryCard.currentCleanupReviewStatus
Details,Dates,details.clusterDetails.dates
Details,Delete Selected,details.screenshotCleanupComponents.deleteSelected
Details,Deleting...,details.screenshotCleanupComponents.deleting
Details,Depth Effect,details.clusterDetails.depthEffect
Details,Details,details.clusterDetails.details
Details,Done,details.clusterDetails.done
Details,Double tap to remove this photo from cleanup selection,details.clusterDetails.doubleTapRemoveThisPhoto
Details,Double tap to reopen this cluster for review,details.clusterDetails.doubleTapReopenThisCluster
Details,Double tap to select this photo for cleanup,details.clusterDetails.doubleTapSelectThisPhoto
Details,Estimated Savings,details.alikeCleanupProgress.estimatedSavings
Details,Favorite,details.clusterDetails.favorite
Details,Finishes the review and keeps every photo in this cluster,details.clusterDetails.finishesReviewKeepsEveryPhoto
Details,Finishes the review and keeps the photos you did not select,details.clusterDetails.finishesReviewKeepsPhotosDid
Details,HDR,details.clusterDetails.hdr
Details,In review,details.clusterReviewSummaryCard.inReview
Details,Keeping %d of %d,details.clusterDetails.keepingOf
Details,"Keeping %d of %d, estimated size %@.",details.clusterReviewSummaryCard.keepingOfEstimatedSize
Details,Keeping all %d photos,details.common.keepingAllPhotos
Details,Live Photo,details.clusterDetails.livePhoto
Details,Loading photo preview,details.common.loadingPhotoPreview
Details,Location,details.clusterDetails.location
Details,Make Best Shot,details.clusterDetails.makeBestShot
Details,Map showing where the photo was taken,details.clusterDetails.mapShowingWherePhotoWas
Details,Mark Reviewed,details.clusterDetails.markReviewed
Details,Megapixels,details.clusterDetails.megapixels
Details,Modified,details.clusterDetails.modified
Details,More Options,details.clusterDetails.moreOptions
Details,Move,details.common.move
Details,Move %d Photos,details.clusterReviewActionBar.movePhotos
Details,Move %d Selected Photos to Recently Deleted?,details.clusterDetails.moveSelectedPhotosRecentlyDeleted
Details,Move 1 Photo,details.clusterReviewActionBar.move1Photo
Details,Move 1 Selected Photo to Recently Deleted?,details.clusterDetails.move1SelectedPhotoRecently
Details,Move the currently selected photos to Recently Deleted,details.common.moveCurrentlySelectedPhotosRecently
Details,Moving...,details.clusterReviewActionBar.moving
Details,Needs review,details.clusterReviewSummaryCard.needsReview
Details,No,details.clusterDetails.no
Details,No Photos Available,details.clusterDetails.noPhotosAvailable
Details,Not reviewed,details.clusterReviewSummaryCard.notReviewed
Details,Not selected,details.clusterDetails.notSelected
Details,OK,details.common.ok
Details,Open Original,details.clusterDetails.openOriginal
Details,Open Settings,details.common.openSettings
Details,Open in Maps,details.clusterDetails.openInMaps
Details,Opens the photo location in Maps,details.clusterDetails.opensPhotoLocationMaps
Details,Organizing Photos,details.alikeCleanupProgress.organizingPhotos
Details,Panorama,details.clusterDetails.panorama
Details,Photo,details.clusterDetails.photo
Details,Photo Info,details.clusterDetails.photoInfo
Details,Photo Type,details.clusterDetails.type
Details,Photo location,details.clusterDetails.photoLocation
Details,Photo preview,details.common.photoPreview
Details,Photo preview unavailable,details.common.photoPreviewUnavailable
Details,Resolution,details.clusterDetails.resolution
Details,Retry,details.fullscreenZoomablePhoto.retry
Details,Reviewed,details.common.reviewed
Details,Screenshot,details.clusterDetails.screenshot
Details,Screenshot cleanup is available on iOS.,details.screenshotCleanup.screenshotCleanupAvailableIOS
Details,Screenshots,details.screenshotCleanup.screenshots
Details,Select All,details.screenshotCleanupComponents.selectAll
Details,Select All Except Best,details.clusterDetails.selectAllExceptBest
Details,Select at least one photo before deleting.,details.common.selectAtLeastOnePhoto
Details,Selected,details.clusterDetails.selected
Details,Selected Photos,details.alikeCleanupProgress.selectedPhotos
Details,Selected for cleanup review,details.clusterDetails.selectedForCleanupReview
Details,Selection,details.clusterDetails.selection
Details,Selection shortcuts and grid layout,details.clusterDetails.selectionShortcutsAndGridLayout
Details,Show Info,details.clusterDetails.showInfo
Details,Similar Photos,details.clusterDetails.similarPhotos
Details,"Some selected photos are no longer available. Your library access may be limited, or the library changed since the last scan.",details.common.someSelectedPhotosNoLonger
Details,Tap photos to select them for cleanup,details.clusterReviewSummaryCard.tapPhotosSelectThemCleanup
Details,"The selected photo will be removed from your library and other devices using iCloud Photos, then remain in Recently Deleted for up to 30 days. Storage may not be freed until it is permanently deleted. Estimated reclaimable space: %@.",details.clusterDetails.selectedPhotoWillBeRemoved
Details,"The selected photos will be removed from your library and other devices using iCloud Photos, then remain in Recently Deleted for up to 30 days. Storage may not be freed until they are permanently deleted. Estimated reclaimable space: %@.",details.clusterDetails.selectedPhotosWillBeRemoved
Details,This photo is kept as the best shot. Long press another photo to make it the best shot instead.,details.clusterDetails.thisPhotoKeptAsBest
Details,Try loading the photo again,details.fullscreenZoomablePhoto.tryLoadingThePhotoAgain
Details,View,details.clusterDetails.view
Details,Yes,details.clusterDetails.yes
Launch,Alike,launch.main.alike
Purchases,%@ • Active through %@,purchases.premiumComponents.activeThrough
Purchases,%d selected • %@ estimated reclaimable,purchases.premiumComponents.selectedEstimatedReclaimable
Purchases,A cleanup reminder on your schedule,purchases.subscriptionPaywall.cleanupReminderSchedule
Purchases,Advanced filters and batch cleanup,purchases.subscriptionPaywall.advancedFiltersAndBatchCleanup
Purchases,"Alike Free still includes three scans each calendar month, review of existing results, and one-photo cleanup.",purchases.subscriptionPaywall.alikeFreeStillIncludesThree
Purchases,Alike Pro,purchases.common.alikePro
Purchases,Alike Pro is active,purchases.common.alikeProIsActive
Purchases,Alike Pro is now active.,purchases.subscriptionPaywall.alikeProIsNowActive
Purchases,Alike Pro status unavailable,purchases.premiumComponents.alikeProStatusUnavailable
Purchases,Billed monthly,purchases.subscriptionPaywall.billedMonthly
Purchases,Billed yearly,purchases.subscriptionPaywall.billedYearly
Purchases,Check your connection and try loading subscription plans again.,purchases.subscriptionPaywall.checkConnectionTryLoadingSubscription
Purchases,Checking Alike Pro,purchases.premiumComponents.checkingAlikePro
Purchases,Checking subscription status,purchases.premiumComponents.checkingSubscriptionStatus
Purchases,Choose the weekly reminder day and time that fits your routine.,purchases.premium.chooseWeeklyReminderDayTime
Purchases,Clean up all selected photos with Pro,purchases.common.cleanUpAllSelectedPhotos
Purchases,Close,purchases.subscriptionPaywall.close
Purchases,Confirming your App Store subscription status.,purchases.premiumComponents.confirmingAppStoreSubscriptionStatus
Purchases,Continue with %@,purchases.subscriptionPaywall.continueWith
Purchases,Continue with one photo,purchases.premiumComponents.continueWithOnePhoto
Purchases,Find the photos that matter faster,purchases.premium.findPhotosThatMatterFaster
Purchases,Free includes %d scans per calendar month. You have %d remaining and the allowance resets %@.,purchases.premium.freeIncludesScansPerCalendar
Purchases,Free includes %d scans per calendar month. You have %d remaining.,purchases.premium.freeIncludesScansPerCalendar2
Purchases,Free includes three scans per calendar month. Pro keeps your cleanup results current whenever your library changes.,purchases.premium.freeIncludesThreeScansPer
Purchases,Keep scanning without monthly limits,purchases.premium.keepScanningWithoutMonthlyLimits
Purchases,Loading App Store plans…,purchases.subscriptionPaywall.loadingAppStorePlans
Purchases,Make cleanup fit your schedule,purchases.premium.makeCleanupFitYourSchedule
Purchases,Make every cleanup faster with Alike Pro,purchases.premium.makeEveryCleanupFasterWith
Purchases,No active Alike Pro subscription was found.,purchases.subscriptionPaywall.noActiveAlikeProSubscription
Purchases,Pay for one month at a time,purchases.subscriptionPaywall.payOneMonthAtTime
Purchases,Plans aren't available yet,purchases.subscriptionPaywall.plansArentAvailableYet
Purchases,Plans couldn't be loaded,purchases.subscriptionPaywall.plansCouldntBeLoaded
Purchases,Privacy Policy,purchases.subscriptionPaywall.privacyPolicy
Purchases,Pro,purchases.premiumComponents.pro
Purchases,Purchasing…,purchases.subscriptionPaywall.purchasing
Purchases,Recommended,purchases.subscriptionPaywall.recommended
Purchases,"Remove multiple selected photos in one safe, confirmed action.",purchases.premium.removeMultipleSelectedPhotosOne
Purchases,Requires Alike Pro,purchases.premiumComponents.requiresAlikePro
Purchases,Restore Purchases,purchases.common.restorePurchases
Purchases,Retry,purchases.subscriptionPaywall.retry
Purchases,Review likely blurred photos faster,purchases.premium.reviewLikelyBlurredPhotosFaster
Purchases,Review likely low-quality shots before deciding what to keep or remove.,purchases.premium.reviewLikelyLowQualityShots
Purchases,Review screenshots together and choose exactly what should move to Recently Deleted.,purchases.premium.reviewScreenshotsTogetherChooseExactly
Purchases,Review smart cleanup suggestions while keeping full control over every deletion.,purchases.premium.reviewSmartCleanupSuggestionsWhile
Purchases,Review this smart category and reclaim an estimated %@.,purchases.premium.reviewThisSmartCategoryReclaim
Purchases,Save %d%% compared with monthly,purchases.subscriptionPaywall.saveComparedWithMonthly
Purchases,Save with annual billing,purchases.subscriptionPaywall.saveWithAnnualBilling
Purchases,Select a subscription plan,purchases.subscriptionPaywall.selectASubscriptionPlan
Purchases,Select this subscription plan,purchases.subscriptionPaywall.selectThisSubscriptionPlan
Purchases,Smart screenshot and blurred-photo categories,purchases.subscriptionPaywall.smartScreenshotBlurredPhotoCategories
Purchases,Subscription plans unavailable,purchases.subscriptionPaywall.subscriptionPlansUnavailable
Purchases,Subscriptions renew automatically unless cancelled at least 24 hours before the end of the current period. Payment is charged to your Apple Account.,purchases.subscriptionPaywall.subscriptionsRenewAutomaticallyUnlessCancelled
Purchases,Terms of Use,purchases.subscriptionPaywall.termsOfUse
Purchases,The yearly plan includes a 7-day free trial for eligible new subscribers. Billing starts when the trial ends unless you cancel at least 24 hours before then. Manage or cancel anytime in iOS Settings.,purchases.subscriptionPaywall.yearlyPlanIncludes7Day
Purchases,Turn screenshot clutter into free space,purchases.premium.turnScreenshotClutterIntoFree
Purchases,Unlimited library scans,purchases.subscriptionPaywall.unlimitedLibraryScans
Purchases,Unlimited scans and all Pro cleanup tools are unlocked.,purchases.subscriptionPaywall.unlimitedScansAllProCleanup
Purchases,Unlock %@ with Alike Pro,purchases.premium.unlockWithAlikePro
Purchases,"Unlock review status, cluster size, and favorites filters for faster cleanup.",purchases.premium.unlockReviewStatusClusterSize
Purchases,"Unlock unlimited scans, smart categories, advanced filters, batch cleanup, and custom reminders.",purchases.premium.unlockUnlimitedScansSmartCategories
Purchases,"Unlock unlimited scans, smart cleanup, and batch actions.",purchases.premiumComponents.unlockUnlimitedScansSmartCleanup
Purchases,Upgrade to Alike Pro,purchases.premiumComponents.upgradeToAlikePro
Purchases,View Alike Pro,purchases.premiumComponents.viewAlikePro
Purchases,View plans,purchases.premiumComponents.viewPlans
Purchases,We couldn't complete your purchase. Check your connection and try again.,purchases.subscriptionPaywall.weCouldntCompletePurchaseCheck
Purchases,We couldn't restore your purchases. Check your connection and try again.,purchases.subscriptionPaywall.weCouldntRestorePurchasesCheck
Purchases,You can continue using Alike Free while subscription plans are unavailable.,purchases.subscriptionPaywall.canContinueUsingAlikeFree
Purchases,You found your first cleanup opportunities,purchases.premium.foundFirstCleanupOpportunities
Purchases,Your Alike Pro subscription was restored.,purchases.subscriptionPaywall.alikeProSubscriptionWasRestored
Purchases,Your current access is preserved. Open plans to retry loading subscription details.,purchases.premiumComponents.currentAccessPreservedOpenPlans
Purchases,Your purchase is pending App Store approval.,purchases.subscriptionPaywall.purchasePendingAppStoreApproval
Purchases,purchases.paywall.batchCleanup.few,purchases.paywall.batchCleanup.few
Purchases,purchases.paywall.batchCleanup.many,purchases.paywall.batchCleanup.many
Purchases,purchases.paywall.batchCleanup.one,purchases.paywall.batchCleanup.one
Purchases,purchases.paywall.batchCleanup.other,purchases.paywall.batchCleanup.other
Purchases,purchases.paywall.postFirstScan.few,purchases.paywall.postFirstScan.few
Purchases,purchases.paywall.postFirstScan.many,purchases.paywall.postFirstScan.many
Purchases,purchases.paywall.postFirstScan.one,purchases.paywall.postFirstScan.one
Purchases,purchases.paywall.postFirstScan.other,purchases.paywall.postFirstScan.other
Purchases,purchases.paywall.postFirstScan.withSavings.few,purchases.paywall.postFirstScan.withSavings.few
Purchases,purchases.paywall.postFirstScan.withSavings.many,purchases.paywall.postFirstScan.withSavings.many
Purchases,purchases.paywall.postFirstScan.withSavings.one,purchases.paywall.postFirstScan.withSavings.one
Purchases,purchases.paywall.postFirstScan.withSavings.other,purchases.paywall.postFirstScan.withSavings.other
Scanner,%d of %d free scans remaining,scanner.scannerHomeComponents.ofFreeScansRemaining
Scanner,Blurred Photos,scanner.scannerHomeComponents.blurredPhotos
Scanner,Cleanup opportunities are ready,scanner.scannerHome.cleanupOpportunitiesAreReady
Scanner,Groups of photos that look alike.,scanner.scannerHomeComponents.groupsPhotosThatLookAlike
Scanner,How to Use,scanner.main.howToUse
Scanner,I couldn't finish this scan.,scanner.scannerHome.iCouldntFinishThisScan
Scanner,Last Scan,scanner.scannerHomeComponents.lastScan
Scanner,Library Status,scanner.scannerHomeComponents.libraryStatus
Scanner,Likely low-quality photos to review.,scanner.scannerHomeComponents.likelyLowQualityPhotosReview
Scanner,Needs refresh,scanner.scannerHomeComponents.needsRefresh
Scanner,No cleanup opportunities were found in this scan.,scanner.scannerHome.noCleanupOpportunitiesWereFound
Scanner,Open usage instructions and cleanup workflow tips,scanner.main.openUsageInstructionsCleanupWorkflow
Scanner,Opens the upgrade options,scanner.scannerHomeComponents.opensTheUpgradeOptions
Scanner,Opportunities,scanner.scannerHomeComponents.opportunities
Scanner,Reclaimable,scanner.scannerHomeComponents.reclaimable
Scanner,Retry,scanner.scannerHome.retry
Scanner,Review Cleanup,scanner.scannerHome.reviewCleanup
Scanner,Review Existing Cleanup,scanner.scannerHome.reviewExistingCleanup
Scanner,Review each suggestion before anything is removed.,scanner.scannerHome.reviewEachSuggestionBeforeAnything
Scanner,Scan Again,scanner.scannerHome.scanAgain
Scanner,Scanner,scanner.main.scanner
Scanner,Scanning progress,scanner.scannerHomeComponents.scanningProgress
Scanner,Scanning your photo library,scanner.scannerHome.scanningYourPhotoLibrary
Scanner,Screen captures that may no longer be useful.,scanner.scannerHomeComponents.screenCapturesThatMayNo
Scanner,Screenshots,scanner.scannerHomeComponents.screenshots
Scanner,Similar Photos,scanner.scannerHomeComponents.similarPhotos
Scanner,These results are from before your photo library changed.,scanner.scannerHomeComponents.theseResultsFromBeforePhoto
Scanner,Unlock more with Alike Pro,scanner.scannerHomeComponents.unlockMoreWithAlikePro
Scanner,"Unlock unlimited scans, smart cleanup, and batch actions.",scanner.scannerHomeComponents.unlockUnlimitedScansSmartCleanup
Scanner,What Alike checks,scanner.scannerHomeComponents.whatAlikeChecks
Scanner,You can switch tabs while scanning. Your cleanup results will refresh when it finishes.,scanner.scannerHome.canSwitchTabsWhileScanning
Scanner,Your library is up to date,scanner.scannerHome.libraryUpDate
Scanner,scanner.alike.libraryChanged.cta,scanner.alike.libraryChanged.cta
Scanner,scanner.alike.libraryChanged.message,scanner.alike.libraryChanged.message
Scanner,scanner.alike.libraryChanged.supporting,scanner.alike.libraryChanged.supporting
Scanner,scanner.alike.ready.cta,scanner.alike.ready.cta
Scanner,scanner.alike.ready.message,scanner.alike.ready.message
Scanner,scanner.alike.ready.supporting,scanner.alike.ready.supporting
Settings,Alike Pro is active,settings.main.alikeProIsActive
Settings,Analysis,settings.main.analysis
Settings,Cancel,settings.main.cancel
Settings,Change Language,settings.main.changeLanguage
Settings,Cleanup Reminder,settings.main.cleanupReminder
Settings,"Cleanup progress, sessions, and history",settings.main.cleanupProgressSessionsAndHistory
Settings,Contact Developer,settings.main.contactDeveloper
Settings,Couldn't Delete Alike Data,settings.main.couldntDeleteAlikeData
Settings,Couldn't Restore Purchases,settings.main.couldntRestorePurchases
Settings,Couldn't Update Reminder,settings.main.couldntUpdateReminder
Settings,Customize day & time,settings.main.customizeDayTime
Settings,Data & Privacy,settings.main.dataPrivacy
Settings,Debug,settings.main.debug
Settings,Delete Alike Data,settings.main.deleteAlikeData
Settings,Delete all Alike data?,settings.main.deleteAllAlikeData
Settings,Deleting...,settings.main.deleting
Settings,Enable a weekly reminder to come back and continue cleanup,settings.main.enableWeeklyReminderComeBack
